neighborhood,price,beds,baths,extra,state,locality,lga,hood,zipcode
off admiralty waylekki phase 1 lekki lagos,1500000,1,1,a well maintained and spacious miniflat apartment with 2 toilets is now availabl.. ,Lagos,Lekki,Eti Osa,Eti-Osa,
off admiralty waylekki phase 1 lekki lagos,2000000,2,2,now available for rent in lekki phase one is a well maintained 2 bedroom apartme.. ,Lagos,Lekki,Eti Osa,Eti-Osa,
oniru sidelekki phase 1 lekki lagos,1500000,1,1,servicedlocated in a gated estate. a well maintained miniflat apartment fitted with a.. ,Lagos,Lekki,Eti Osa,Maroko,
lekki phase 1 lekki lagos,1600000,1,1,serviceda nicely finished and well maintained mini flat apartment is now available for r.. ,Lagos,Lekki,,Lekki Phase 1,
off admiralty waylekki phase 1 lekki lagos,1400000,1,1,servicednow renting in lekki phase one is a massively built and well maintained studio a.. ,Lagos,Lekki,Eti Osa,Eti-Osa,
ilasan lekki lagos,2300000,3,4,3 bedroom penthouse flat / apartment for rent ilasan lekki lagos.. ,Lagos,Lekki,Eti Osa,Lekki Penninsula II,
alagomejialagomeji yaba lagos,2000000,2,2,servicedlovely.. ,Lagos,Lagos,Lagos Mainland,Alagomeji-Yaba,
...river valley estate ojodu lagos,600000,1,1,very nice mini flat @ river valley estate ojodu very nice anf spacious 600.. ,Lagos,Ojodu,Ifo,Ojodu,
ilupejuikorodu road(ilupeju) ilupeju lagos,350000,1,1,newly builtlovely.. ,Lagos,Ikeja,Ikeja,Ilupeju,
...omole phase 1 ojodu lagos,600000,1,1,furnishedlovely spacious mini flat @ omole phase 1 very and spacious .. ,Lagos,Ojodu,Ikeja,Isheri,
off ajao estate anthony village anthony village maryland lagos,2500000,3,3,the executive furnished 3bedroom service apartments located in the heart of anth.. ,Lagos,Lagos,Kosofe,Anthony,
iree 2igbogbo ikorodu lagos,120000,4,1,"furnished serviced newly builtannual rent:-120,000 a&c:-40,000 total package:-160,000.. ",Lagos,Ikorodu,Ikorodu,Ikorodu,
...omole phase 1 ojodu lagos,1600000,3,3,very nice perfect 3bedroom all room ensuilte with p o p ceilling good kitchen ca.. ,Lagos,Ojodu,Ikeja,Isheri,
magodo gra phase 1 ojodu lagos,1000000,2,2,*to let* 2 bedroom flat at magodo isheri residential scheme. all rooms en-suits.. ,Lagos,Lagos,,,
unilag roadabule oja yaba lagos,800000,1,1,"lovely and spacious serviced miniflat at university rd, akoka yaba, lagos. feat.. ",Lagos,Lagos,Lagos Mainland,Abule ijesha,100001
glory estateifako gbagada gbagada lagos,1500000,4,3,*fresh letting* decent spacious 4 bedrooms up flat 3t 3b @ glory estate ifak.. ,Lagos,Lagos,Kosofe,Gbagada,100242
moore road sabo yaba lagos,2500000,3,3,furnished serviced newly builtnewly built executive serviced 3 bedroom flat @ moore road yaba. it is well fur.. ,Lagos,Lagos,Lagos Mainland,Lagos Mainland,
alagomejialagomeji yaba lagos,1200000,3,2,lovely.. ,Lagos,Lagos,Lagos Mainland,Alagomeji-Yaba,
cordial close ado road ajahajah lagos,1200000,2,2,newly builta newly built and standard 2 bedroom flat with visitor toilet is available for r.. ,Lagos,Lekki,Eti Osa,Aja,
lekki palm city ajahajah lagos,700000,1,1,a standard 1 bedroom mini flat is available for rent immediately at lekki palm c.. ,Lagos,Lekki,Eti Osa,Aja,
executive 3bedroom flat self compared very decent and lovely nice environment secure area with prepaid meter and pop selling alausa ikeja lagos,1600000,1,4,furnishedexecutive 3bedroom flat at magodo phash2 self compared very decent and lovely ni.. ,Lagos,Ojodu,Ikeja,Agidingbi,
soluyi gbagadasoluyi gbagada lagos,1000000,3,2,furnishedto let newly built 3bedroom flat all ensuite with alone staircase with prepaid m.. ,Lagos,Lagos,Kosofe,Gbagada,
hoponu wosulekki phase 1 lekki lagos,1700000,1,1,servicedup for lease..spacious mini flat location lekki phase 1. apartment is nea.. ,Lagos,Lekki,,Lekki Phase 1,
onipanonipanu shomolu lagos,400000,1,1,newly builtlovely.. ,Lagos,Lagos,Mushin,Onipanu,
somoluonipanu shomolu lagos,400000,1,1,newly builtlovely.. ,Lagos,Lagos,Shomolu,Somolu,
amuwo odofin amuwo odofin lagos,1200000,2,3,furnished  newly builtnewly built executive lovely sharp 2 bedroom apartment with modern facilities on.. ,Lagos,Lagos,,Amuwo Odofin,
shoniobare estate ikejamaryland ikeja lagos,2000000,1,1,for rent newly renovated 1 bedroom flat (mini flat) at shoniobare estate ikeja. .. ,Lagos,Lagos,Ikeja,Maryland,
aro baale streetologolo lekki lagos,1000000,2,1,"newly builtnewly built tastefully finished 1bedroom apartment with 2toilet and 1bath, treat.. ",Lagos,Lekki,Eti Osa,Lekki Penninsula II,12825
-ago palace okota lagos,850000,3,4,furnishedstandard 3 bedroom apartment with modern facilities on a good environment pay an.. ,Lagos,Lagos,,,
"behind blenco supermarket, sangotedo ajah lagos",900000,4,2,newly builtrent = 900k agency = 10% legal = 10% caution = 10% service charge = 84k.. ,Lagos,Sangotedo,Eti Osa,Eti-Osa,
bakare estate agungi lekki lagos,1000000,1,1,serviced1 bedroom mini flat mini flat flat / apartment for rent bakare estate agungi l.. ,Lagos,Lekki,Eti Osa,Lekki Penninsula II,
finbars akoka yaba lagos,1500000,1,1,furnished serviced newly builtthis is a lovely newly built furnished serviced miniflat @ akoka yaba. it is we.. ,Lagos,Lagos,Lagos Mainland,Yaba,
ago palace okota lagos,1200000,3,3,"this sweet spacious 3 bedroom apartment with all the rooms en-suite, spacious si.. ",Lagos,Lagos,Oshodi/Isolo,,
executive 3bedroom flat at yaba akoka unilag estate new house very decent and beautiful nice environment secure estate with prepaid meter and pop selling akoka yaba lagos,1500000,3,4,furnished newly builtexecutive 3bedroom flat at yaba akoka unilag estate new house very decent and lo.. ,Lagos,Lagos,Lagos Mainland,Yaba,
yabatech abule ijesha yaba lagos,700000,1,1,furnished serviced newly builtnewly built lovely miniflat @ abule ijesha yaba. it is fenced round with gate g.. ,Lagos,Lagos,Lagos Mainland,Yaba,100001
aptechajah lagos,1100000,2,2,rent = 1.1m agency = 10% legal = 10% caution = 100k service charge = 200k.. ,Lagos,Lagos,Eti Osa,Eti-Osa,101001
good news estatesangotedo ajah lagos,800000,2,2,2 bedrooms flat in addition to guest toilets in a well secured environment and g.. ,Lagos,Sangotedo,Eti Osa,Eti-Osa,
ado ajah lagos,900000,2,3,"newly builtto let direct a newly built 2bed flat ensuit with pop at ado road, .. ",Lagos,Lagos,Eti Osa,Aja,
behind eko hotel adeola odeku victoria island lagos,1800000,1,1,1 bedroom mini flat mini flat flat / apartment for rent behind eko hotel adeol.. ,Lagos,Lagos,Eti Osa,Victoria Island,
igbarajakande lekki lagos,700000,2,1,newly builtrent = 700k agency = 70k legal = 70k service charge = 72k total = 912k.. ,Lagos,Lagos,Eti Osa,Lekki Penninsula II,
off adeniran ogunsanyaadeniran ogunsanya surulere lagos,1000000,1,1,"a clean & sharp mini flat with 2 toilets @ surulere, lagos, in a block of flats,.. ",Lagos,Lagos,Surulere,Surulere,
"adebayo coker, lekki rightlekki phase 1 lekki lagos",1500000,5,1,serviced newly builtrent = 1.5m agency = 10% legal = 10% caution = 100k service charge = 300k .. ,Lagos,Lekki,,Lekki Phase 1,
off igando ph1 near marvel hotel igandoigando ikotun igando lagos,200000,1,1,"room and parlour self contain at igando, very close to marvel hotel very spaciou.. ",Lagos,Lagos,Alimosho,IGANDO,100001
magodo gra phase 1 ojodu lagos,1400000,3,3,lovely spacious 3bedroom all room ensuilte upstair seperated prepaid meter .. ,Lagos,Lagos,,,
yaba lagos,850000,3,2,"newly builta newly built & tastefully finished 3bedroom flat for rent.. location: fadeyi,y.. ",Lagos,Oworonshoki,Surulere,Yaba,
palmgroove palmgroove shomolu lagos,600000,1,2,"newly built [email protected] grove with pop screeded walls condict wiring, it also has .. ",Lagos,Lagos,Mushin,Onipanu,
omole phase 2 ojodu lagos,2000000,3,3,newly builtto let newly built 3bedrooms [email protected] omole ph2 ground floor #2m p.a.cooperate cli.. ,Lagos,Lagos,Ikeja,Isheri,
ogudu graogudu gra ogudu lagos,2500000,5,2,new 2 bedroom flat up at ogudu gra for rent 2.5m.. ,Lagos,Lagos,Kosofe,Ogudu,100242
masha surulere lagos,1600000,3,2,servicedfor rent... a serviced & executive 3bedroom flat(upstairs) for rent.. location.. ,Lagos,Lagos,Surulere,Ikate,
thomas estateajah lagos,2000000,1,4,a very self compound bungalow is available for rent immediately at thomas estate.. ,Lagos,Lekki,Eti Osa,Eti-Osa,
"oba adeboruwa estate,along igbogbo bayeku rpadigbogbo ikorodu lagos",300000,4,3,"furnished servicedannual rent:-300,000 a&c:-80,000 caution fee:-20,000 total package:-400,000.. ",Lagos,Ikorodu,Ikorodu,Ikorodu,
